HPworkload,ground truth,random,prediction,_PCIe read bandwidth,_PCIe write bandwidth,_Long_Kernel,_ave_Kernel_Length,_long/short_Ratio,_avg_Thread,sm%,mem%,CPU%,MainMem%,ground truth value
whisper-large-v2_batch8-inf,1.0,0.399434995963922,0.0646038342393538,1.0,1.0,0.1247370280705411,0.4083991215457931,0.0646038342393538,0.1247370280705411,0.1247370280705411,0.4083991215457931,1.0,1.0,63.432861246081565
vit-base-patch16-224_batch8-inf,1.0,0.6859068238430147,1.0,1.0,1.0,0.8629584963519126,0.8629584963519126,0.5656876308266504,0.8629584963519126,0.44087584173166394,0.8629584963519126,0.5656876308266504,0.5656876308266504,161.7458225305613
albert-base-v2_batch2-train,1.0,0.5619634104741086,0.9190952875008682,0.35581619355738403,0.35581619355738403,0.7116454961154355,0.7116454961154355,0.31140132624982253,0.7116454961154355,0.3344823124354576,0.7116454961154355,0.35581619355738403,0.6936939157338539,99.55182274105027
bert-base-cased_batch8-inf,1.0,0.7805476080969459,0.7740432136379484,0.8791537700853894,0.8791537700853894,1.0,1.0,1.0,1.0,0.6526415890016419,1.0,0.8827813934446228,0.8827813934446228,128.23380214445507
wav2vec2-base-960h_batch8-inf,1.0,0.5818269019716025,1.0,0.4332363774853572,0.4332363774853572,0.7661181000747064,0.7661181000747064,0.5408816857225652,0.7661181000747064,0.4556389969952503,0.7661181000747064,0.4332363774853572,0.5408816857225652,120.63426590505317
bert-base-cased_batch8-train,1.0,0.54962927492569,1.0,1.0,1.0,0.24685680705762508,0.24685680705762508,1.0,0.40203101771944477,1.0,0.24685680705762508,0.40203101771944477,1.0,87.77058230585791
bert-base-cased_batch16-inf,1.0,0.795723905769515,0.6964061997025259,0.6964061997025259,0.6964061997025259,0.9213654237532015,0.4090485838332266,0.4090485838332266,0.9689819962481033,0.6964061997025259,0.9213654237532015,1.0,0.9689819962481033,112.73723060768157
vit_h_14_batch8-train,1.0,0.8994231044290586,1.0,1.0,1.0,0.706405200051102,0.706405200051102,0.706405200051102,0.706405200051102,0.9918641132360742,1.0,0.9918641132360742,0.9918641132360742,21.66676570161257
vit-base-patch16-224_batch16-inf,1.0,0.82098016665282,0.7450673014016352,1.0,1.0,0.8773013744577847,0.8773013744577847,0.6225323294207489,0.8773013744577847,0.6225323294207489,0.8773013744577847,0.6225323294207489,0.9266117822417036,159.91430169366595
whisper-large-v2_batch16-inf,1.0,0.30637890709209153,0.08841029776747134,1.0,1.0,0.3350483984690859,0.3350483984690859,0.16430429476399308,0.3350483984690859,0.15226486939478756,0.3350483984690859,1.0,0.16430429476399308,46.115004525352035
albert-base-v2_batch16-train,1.0,0.7457980573877669,0.7950112854320035,0.661496199459081,0.661496199459081,1.0,1.0,0.45294648014841404,1.0,0.661496199459081,1.0,0.6771716637573665,0.661496199459081,52.58450556637074
wav2vec2-base-960h_batch2-inf,1.0,0.6646316479733243,0.8717991927662279,0.35087164938969445,0.8717991927662279,0.4163144099722503,0.5446304762980363,0.6357292442147153,0.4163144099722503,0.35087164938969445,0.5446304762980363,0.8330765631723457,0.35087164938969445,119.14691721842664
albert-base-v2_batch8-train,1.0,0.788067013600048,0.5861093915595911,0.7518084889206944,0.7518084889206944,0.6285357452658046,0.9738814422541501,0.9738814422541501,0.7518084889206944,0.7518084889206944,0.5861093915595911,1.0,0.9738814422541501,34.19135269742776
vit-base-patch16-224_batch2-inf,1.0,0.7033331516499671,0.9949170330470198,0.3748190702405995,0.3748190702405995,0.8575595254353239,0.8575595254353239,0.5049830552155878,0.8575595254353239,0.3748190702405995,0.8575595254353239,0.9140425297435947,0.9147804505891403,140.29303667130998
bert-base-cased_batch16-train,1.0,0.5357149828519858,1.0,0.4535514718355142,1.0,0.4511749040243152,0.4511749040243152,0.4511749040243152,0.3067924854025017,0.4535514718355142,0.3067924854025017,0.46705605299759767,0.4511749040243152,78.5109063324828
bert-base-cased_batch2-inf,1.0,0.7546764593208629,1.0,0.7372214213705458,0.7372214213705458,0.8660996568459615,0.8660996568459615,0.4660494260304483,0.8660996568459615,0.7372214213705458,0.8660996568459615,0.7372214213705458,0.7040117923573593,148.17847609830528
bert-base-cased_batch2-train,1.0,0.36643663015665395,1.0,0.3715831973370352,0.3715831973370352,0.3120143264801713,0.08735327086126221,0.08735327086126221,0.3120143264801713,0.3715831973370352,0.5476129765486094,0.3715831973370352,0.3715831973370352,90.57962587816581
vit_h_14_batch2-train,1.0,0.49560712950663977,0.8520637907577886,1.0,1.0,0.3071469756906695,0.6567715143901339,0.06639074794785275,0.8520637907577886,0.0912697482533939,0.8520637907577886,1.0,0.3071469756906695,83.69071239527932
whisper-large-v2_batch2-inf,1.0,0.5067495003794159,0.2306800927710882,0.9888489920532488,0.9888489920532488,0.8319941155312819,0.17013665377555245,0.15632038782494287,0.2306800927710882,0.2306800927710882,0.15632038782494287,1.0,0.8319941155312819,24.086556084945407
