Type,Exclusive100,sm%,mem%,memcap,Exclusive50
albert-base-v2_batch4-train,30.647469899806346,86.28571428571429,44.357142857142854,3.7,
vit_h_14_batch4-train,8.581667295360242,88.78,37.46,14.6,
mobilenet_batch4-train,98.24561403508771,14.166666666666666,0.5,1.2,
bert-base-cased_batch4-train,30.040439052570765,88.5,44.0,5.0,
resnet-50_batch4-train,78.3301054443727,24.5,6.5,1.5,
wav2vec2-base-960h_batch4-inf,59.71128608923885,69.33333333333333,29.22222222222222,7.8,
whisper-large-v2_batch4-inf,3.6181823603669874,83.10526315789474,28.359649122807017,9.0,
resnet-50_batch4-inf,77.52264588160944,10.142857142857142,2.142857142857143,1.2,
bert-base-cased_batch4-inf,101.76991150442477,56.57142857142857,24.571428571428573,1.4,
vit-base-patch16-224_batch4-inf,79.63644232850032,19.75,3.375,1.4,
mobilenet_v2_1.0_224_batch4-inf,80.6663743971942,4.571428571428571,0.42857142857142855,1.1,
