Type,Exclusive100,sm%,mem%,memcap,Exclusive50,AvgCPU,AvgMem
whisper-large-v2_batch16-inf,24.59818976428725,50.03021148036254,22.38368580060423,15.4,19.32766013341715,115.65532695374812,5.37405103668258
whisper-large-v2_batch8-inf,10.73243670597552,45.11811023622048,19.79265091863517,11.4,8.57113731918957,125.26545454545455,5.3417878787879065
whisper-large-v2_batch2-inf,1.7085028704506966,37.63403263403264,16.834498834498834,8.3,1.401211844185243,167.40575221238944,5.210442477876111
bert-base-cased_batch16-inf,99.82511698255897,97.0,38.0,1.6,57.96703673715847,113.78777777777778,1.162962962962963
resnet-50_batch8-inf,86.28038401307278,10.105263157894736,3.421052631578948,2.5,80.92160719303175,0,0
resnet-50_batch2-inf,64.83831354891527,12.153846153846152,1.5384615384615383,1.3,62.5567710595948,0,0
resnet-50_batch16-inf,89.02859826928983,8.789473684210526,3.5789473684210527,3.9,84.02745215056055,0,0
bert-base-cased_batch8-inf,98.34844157456848,96.0,38.0,1.4,55.39381540640491,95.984,1.1133333333333333
mobilenet_v2_1.0_224_batch2-inf,65.16105146242133,5.923076923076923,0.0769230769230769,1.2,62.29598458331695,0,0
vit-base-patch16-224_batch8-inf,79.59099074202018,27.05555555555556,6.055555555555555,3.1,65.99175103112111,392.2815789473684,1.428421052631579
mobilenet_v2_1.0_224_batch8-inf,88.38052727019111,4.684210526315789,0.8421052631578947,2.2,87.19706040213039,0,0
vit-base-patch16-224_batch2-inf,63.42342342342342,29.454545454545453,4.181818181818182,1.6,58.22031094938802,724.74375,1.19375
vit-base-patch16-224_batch16-inf,81.32013201320132,29.0,6.026315789473684,5.1,67.26588999679231,272.6894117647059,1.512941176470588
mobilenet_v2_1.0_224_batch16-inf,94.27609427609428,4.222222222222222,2.055555555555556,3.6,93.64904412603094,0,0
wav2vec2-base-960h_batch2-inf,17.806821914492676,17.464285714285715,5.428571428571429,3.9,15.321453009252371,686.1577777777779,1.3266666666666669
wav2vec2-base-960h_batch16-inf,126.2100232814606,21.0,7.98,21.5,97.17668702974268,276.49724999999995,1.5592499999999991
wav2vec2-base-960h_batch8-inf,66.49987894439512,18.24,6.6,11.4,51.16677636889755,387.6431818181818,1.4922727272727279
bert-base-cased_batch2-inf,84.1300191204589,92.5,40.0,1.2,51.28039107772994,172.04833333333332,0.9183333333333333
vit_h_14_batch8-train,9.500815660685156,96.99371069182388,32.52201,17.4,5.621100747421089,146.7843030303031,1.4830909090909123
mobilenet_batch16-train,429.87894892235016,16.142857142857142,0.01,1.2,337.1931449745253,0,0
vit_h_14_batch16-train,10.390129377091762,96.87847222222224,30.67013888888889,21.2,5.831137312069974,128.72500000000005,1.5050342465753368
resnet-50_batch16-train,198.0952380952381,57.5,31.9,2.8,147.11528746084673,0,0
bert-base-cased_batch16-train,32.58655804480652,97.01724137931036,42.82758620689656,7.4,19.07502569373073,101.64712765957448,1.2172340425531933
mobilenet_batch2-train,48.80665057656208,14.125,0.01,1.2,53.03030303030303,0,0
resnet-50_batch2-train,45.2286282306163,22.6,6.1,1.5,41.91616766467066,0,0
bert-base-cased_batch8-train,29.24021138236145,96.7,45.2,4.9,17.80448450453458,110.38627450980394,1.20764705882353
vit_h_14_batch2-train,6.908856242645105,97.51923076923076,47.9423,14.3,4.3334365103931045,215.61129032258071,1.463225806451613
albert-base-v2_batch2-train,25.6782694402656,97.0,43.0,2.3,16.324376911724695,126.564375,0.9618749999999997
albert-base-v2_batch8-train,29.67588370763072,97.38028169014083,46.74647887323944,6.6,17.424923085300446,108.3176923076923,0.9923076923076921
albert-base-v2_batch16-train,31.21636167922497,97.3793103448276,45.672413793103445,12.4,18.520920856991747,104.47540816326531,1.0005102040816338
resnet-50_batch8-train,148.3897268650632,49.625,21.875,2.1,121.98391420911528,0,0
bert-base-cased_batch2-train,23.23807288304677,97.27272727272728,47.76623376623377,3.1,15.255412589567763,144.3622222222222,1.152222222222222
mobilenet_batch8-train,237.3655037495924,14.5,0.25,1.2,172.63457434194927,0,0
whisper-large-v2_batch1-inf,0.6252,29.91891891891892,15.013513513513514,7.8,,0,0
resnet-50_batch32-inf,2.6797,7.862068965517241,4.344827586206897,6.7,,0,0
vit-base-patch16-224_batch1-inf,44.2091,28.815,4.15,1.4,,0,0
mobilenet_v2_1.0_224_batch64-inf,1.451,3.5445544554455446,2.504950495049505,12.0,,0,0
wav2vec2-base-960h_batch1-inf,9.4303,14.428571428571429,2.571428571428572,2.5,,0,0
resnet-50_batch32-train,6.7901,66.61538461538461,42.07692307692308,4.2,,0,0
mobilenet_batch64-train,17.2289,19.228915662650603,1.5180722891566265,1.3,,0,0
